id,category,count,unique,top,freq
11141,x,1,1,b,1
11153,x,1,1,b,1
11183,x,1,1,b,1
11189,x,8,1,b,8
11195,x,3,1,b,3
11203,x,1,1,b,1
11211,x,6,1,b,6
11256,x,1,1,b,1
11266,x,1,1,b,1
11268,x,6,1,b,6
11270,x,2,1,b,2
11272,x,8,1,b,8
11274,x,1,1,b,1
11278,x,6,1,b,6
11280,x,1,1,b,1
11284,x,3,1,b,3
