block,id,count,means,std,min,25%,50%,75%,max
0,11119,8,0.875,0.353553391,0,1,1,1,1
0,11121,8,0.625,0.51754917,0,0,1,1,1
0,11123,16,0.875,0.341565026,0,1,1,1,1
0,11125,8,0.75,0.46291005,0,0.75,1,1,1
0,11127,8,0.625,0.51754917,0,0,1,1,1
0,11129,8,0.75,0.46291005,0,0.75,1,1,1
0,11131,8,0.25,0.46291005,0,0,0,0.25,1
0,11133,8,0.625,0.51754917,0,0,1,1,1
0,11135,8,0.625,0.51754917,0,0,1,1,1
0,11137,8,0.625,0.51754917,0,0,1,1,1
0,11139,8,0.75,0.46291005,0,0.75,1,1,1
0,11141,8,0.5,0.534522484,0,0,0.5,1,1
0,11143,8,0.75,0.46291005,0,0.75,1,1,1
0,11145,8,0.75,0.46291005,0,0.75,1,1,1
0,11151,8,0.75,0.46291005,0,0.75,1,1,1
0,11153,8,0.5,0.534522484,0,0,0.5,1,1
0,11155,8,0.625,0.51754917,0,0,1,1,1
0,11157,8,0.625,0.51754917,0,0,1,1,1
0,11159,8,0.5,0.534522484,0,0,0.5,1,1
0,11161,8,0.625,0.51754917,0,0,1,1,1
0,11163,8,0.75,0.46291005,0,0.75,1,1,1
0,11165,8,0.625,0.51754917,0,0,1,1,1
0,11169,8,0.625,0.51754917,0,0,1,1,1
0,11171,8,0.25,0.46291005,0,0,0,0.25,1
0,11173,8,0.75,0.46291005,0,0.75,1,1,1
0,11175,8,0.75,0.46291005,0,0.75,1,1,1
0,11183,8,0.5,0.534522484,0,0,0.5,1,1
0,11185,8,0.875,0.353553391,0,1,1,1,1
0,11189,8,0.75,0.46291005,0,0.75,1,1,1
0,11191,8,0.5,0.534522484,0,0,0.5,1,1
0,11195,8,0.625,0.51754917,0,0,1,1,1
0,11197,8,0.375,0.51754917,0,0,0,1,1
0,11199,8,0.625,0.51754917,0,0,1,1,1
0,11201,8,0.375,0.51754917,0,0,0,1,1
0,11203,8,0.625,0.51754917,0,0,1,1,1
0,11205,8,0.75,0.46291005,0,0.75,1,1,1
0,11207,8,0.625,0.51754917,0,0,1,1,1
0,11209,8,0.75,0.46291005,0,0.75,1,1,1
0,11211,8,0.75,0.46291005,0,0.75,1,1,1
0,11213,8,0.375,0.51754917,0,0,0,1,1
0,11217,8,0.625,0.51754917,0,0,1,1,1
0,11219,8,0.375,0.51754917,0,0,0,1,1
0,11239,8,0.75,0.46291005,0,0.75,1,1,1
0,11246,8,0.75,0.46291005,0,0.75,1,1,1
0,11248,8,0.75,0.46291005,0,0.75,1,1,1
0,11250,8,0.625,0.51754917,0,0,1,1,1
0,11252,8,0.625,0.51754917,0,0,1,1,1
0,11254,8,0.75,0.46291005,0,0.75,1,1,1
0,11256,8,0.25,0.46291005,0,0,0,0.25,1
0,11258,8,0.625,0.51754917,0,0,1,1,1
0,11260,8,0.75,0.46291005,0,0.75,1,1,1
0,11262,8,0.625,0.51754917,0,0,1,1,1
0,11264,8,0.875,0.353553391,0,1,1,1,1
0,11266,8,0.625,0.51754917,0,0,1,1,1
0,11268,8,0.5,0.534522484,0,0,0.5,1,1
0,11270,8,0.875,0.353553391,0,1,1,1,1
0,11272,8,0.25,0.46291005,0,0,0,0.25,1
0,11274,8,0.625,0.51754917,0,0,1,1,1
0,11276,8,0.5,0.534522484,0,0,0.5,1,1
0,11278,8,0.625,0.51754917,0,0,1,1,1
0,11280,8,0.5,0.534522484,0,0,0.5,1,1
0,11282,8,0.25,0.46291005,0,0,0,0.25,1
0,11284,8,0.625,0.51754917,0,0,1,1,1
0,11667,8,0.75,0.46291005,0,0.75,1,1,1
1,11119,8,1,0,1,1,1,1,1
1,11121,8,1,0,1,1,1,1,1
1,11123,15,0.933333333,0.25819889,0,1,1,1,1
1,11125,8,1,0,1,1,1,1,1
1,11127,8,1,0,1,1,1,1,1
1,11129,8,0.875,0.353553391,0,1,1,1,1
1,11131,8,0.75,0.46291005,0,0.75,1,1,1
1,11133,8,0.75,0.46291005,0,0.75,1,1,1
1,11135,8,0.875,0.353553391,0,1,1,1,1
1,11137,8,1,0,1,1,1,1,1
1,11139,8,0.875,0.353553391,0,1,1,1,1
1,11141,8,0.75,0.46291005,0,0.75,1,1,1
1,11143,8,1,0,1,1,1,1,1
1,11145,8,1,0,1,1,1,1,1
1,11151,8,0.75,0.46291005,0,0.75,1,1,1
1,11153,8,0.875,0.353553391,0,1,1,1,1
1,11155,8,0.875,0.353553391,0,1,1,1,1
1,11157,8,0.625,0.51754917,0,0,1,1,1
1,11159,8,0.5,0.534522484,0,0,0.5,1,1
1,11161,8,0.75,0.46291005,0,0.75,1,1,1
1,11163,8,1,0,1,1,1,1,1
1,11165,8,1,0,1,1,1,1,1
1,11169,8,1,0,1,1,1,1,1
1,11171,8,0.625,0.51754917,0,0,1,1,1
1,11173,8,1,0,1,1,1,1,1
1,11175,8,0.75,0.46291005,0,0.75,1,1,1
1,11183,8,1,0,1,1,1,1,1
1,11185,8,0.875,0.353553391,0,1,1,1,1
1,11189,8,0.875,0.353553391,0,1,1,1,1
1,11191,8,0.625,0.51754917,0,0,1,1,1
1,11195,8,0.875,0.353553391,0,1,1,1,1
1,11197,8,0.625,0.51754917,0,0,1,1,1
1,11199,8,0.75,0.46291005,0,0.75,1,1,1
1,11201,8,0.625,0.51754917,0,0,1,1,1
1,11203,8,0.875,0.353553391,0,1,1,1,1
1,11205,8,0.75,0.46291005,0,0.75,1,1,1
1,11207,8,0.875,0.353553391,0,1,1,1,1
1,11209,8,0.875,0.353553391,0,1,1,1,1
1,11211,8,1,0,1,1,1,1,1
1,11213,8,0.75,0.46291005,0,0.75,1,1,1
1,11217,8,0.875,0.353553391,0,1,1,1,1
1,11219,8,0.75,0.46291005,0,0.75,1,1,1
1,11239,8,0.75,0.46291005,0,0.75,1,1,1
1,11246,8,1,0,1,1,1,1,1
1,11248,8,1,0,1,1,1,1,1
1,11250,8,1,0,1,1,1,1,1
1,11252,8,0.875,0.353553391,0,1,1,1,1
1,11254,8,1,0,1,1,1,1,1
1,11256,8,0.5,0.534522484,0,0,0.5,1,1
1,11258,8,0.875,0.353553391,0,1,1,1,1
1,11260,8,0.875,0.353553391,0,1,1,1,1
1,11262,8,1,0,1,1,1,1,1
1,11264,8,0.875,0.353553391,0,1,1,1,1
1,11266,8,1,0,1,1,1,1,1
1,11268,8,0.875,0.353553391,0,1,1,1,1
1,11270,8,0.875,0.353553391,0,1,1,1,1
1,11272,8,1,0,1,1,1,1,1
1,11274,8,1,0,1,1,1,1,1
1,11276,8,0.875,0.353553391,0,1,1,1,1
1,11278,8,0.875,0.353553391,0,1,1,1,1
1,11280,8,0.625,0.51754917,0,0,1,1,1
1,11282,8,0.875,0.353553391,0,1,1,1,1
1,11284,8,0.5,0.534522484,0,0,0.5,1,1
1,11667,8,0.75,0.46291005,0,0.75,1,1,1
10,11125,8,1,0,1,1,1,1,1
11,11125,6,1,0,1,1,1,1,1
2,11119,8,0.875,0.353553391,0,1,1,1,1
2,11121,6,1,0,1,1,1,1,1
2,11123,8,1,0,1,1,1,1,1
2,11125,8,0.875,0.353553391,0,1,1,1,1
2,11127,7,1,0,1,1,1,1,1
2,11129,8,1,0,1,1,1,1,1
2,11131,8,1,0,1,1,1,1,1
2,11133,8,0.875,0.353553391,0,1,1,1,1
2,11135,8,1,0,1,1,1,1,1
2,11137,8,0.875,0.353553391,0,1,1,1,1
2,11139,8,1,0,1,1,1,1,1
2,11141,8,1,0,1,1,1,1,1
2,11143,8,0.875,0.353553391,0,1,1,1,1
2,11145,8,0.75,0.46291005,0,0.75,1,1,1
2,11151,8,1,0,1,1,1,1,1
2,11153,8,1,0,1,1,1,1,1
2,11155,8,0.875,0.353553391,0,1,1,1,1
2,11157,8,1,0,1,1,1,1,1
2,11159,8,0.75,0.46291005,0,0.75,1,1,1
2,11161,8,0.75,0.46291005,0,0.75,1,1,1
2,11163,5,1,0,1,1,1,1,1
2,11165,2,1,0,1,1,1,1,1
2,11169,4,1,0,1,1,1,1,1
2,11171,8,0.875,0.353553391,0,1,1,1,1
2,11173,2,1,0,1,1,1,1,1
2,11175,8,1,0,1,1,1,1,1
2,11183,7,1,0,1,1,1,1,1
2,11185,8,1,0,1,1,1,1,1
2,11189,8,0.875,0.353553391,0,1,1,1,1
2,11191,8,0.25,0.46291005,0,0,0,0.25,1
2,11195,8,0.75,0.46291005,0,0.75,1,1,1
2,11197,8,0.625,0.51754917,0,0,1,1,1
2,11199,8,0.75,0.46291005,0,0.75,1,1,1
2,11201,8,0.875,0.353553391,0,1,1,1,1
2,11203,8,0.625,0.51754917,0,0,1,1,1
2,11205,8,0.75,0.46291005,0,0.75,1,1,1
2,11207,8,0.875,0.353553391,0,1,1,1,1
2,11209,8,0.875,0.353553391,0,1,1,1,1
2,11211,3,1,0,1,1,1,1,1
2,11213,8,1,0,1,1,1,1,1
2,11217,8,1,0,1,1,1,1,1
2,11219,8,0.75,0.46291005,0,0.75,1,1,1
2,11239,8,1,0,1,1,1,1,1
2,11246,4,1,0,1,1,1,1,1
2,11248,5,1,0,1,1,1,1,1
2,11250,5,1,0,1,1,1,1,1
2,11252,8,0.75,0.46291005,0,0.75,1,1,1
2,11254,3,1,0,1,1,1,1,1
2,11256,8,0.875,0.353553391,0,1,1,1,1
2,11258,8,1,0,1,1,1,1,1
2,11260,8,1,0,1,1,1,1,1
2,11262,2,1,0,1,1,1,1,1
2,11264,8,1,0,1,1,1,1,1
2,11266,7,1,0,1,1,1,1,1
2,11268,8,1,0,1,1,1,1,1
2,11270,8,0.75,0.46291005,0,0.75,1,1,1
2,11272,7,1,0,1,1,1,1,1
2,11274,8,0.875,0.353553391,0,1,1,1,1
2,11276,8,1,0,1,1,1,1,1
2,11278,8,1,0,1,1,1,1,1
2,11280,8,0.875,0.353553391,0,1,1,1,1
2,11282,8,1,0,1,1,1,1,1
2,11284,8,1,0,1,1,1,1,1
2,11667,8,0.75,0.46291005,0,0.75,1,1,1
3,11119,8,0.875,0.353553391,0,1,1,1,1
3,11125,8,0.875,0.353553391,0,1,1,1,1
3,11129,4,1,0,1,1,1,1,1
3,11131,3,1,0,1,1,1,1,1
3,11133,8,0.875,0.353553391,0,1,1,1,1
3,11135,4,1,0,1,1,1,1,1
3,11137,8,1,0,1,1,1,1,1
3,11139,1,1,,1,1,1,1,1
3,11141,2,1,0,1,1,1,1,1
3,11143,8,1,0,1,1,1,1,1
3,11145,8,1,0,1,1,1,1,1
3,11151,1,1,,1,1,1,1,1
3,11153,4,1,0,1,1,1,1,1
3,11155,8,0.875,0.353553391,0,1,1,1,1
3,11157,7,1,0,1,1,1,1,1
3,11159,8,1,0,1,1,1,1,1
3,11161,8,1,0,1,1,1,1,1
3,11171,8,1,0,1,1,1,1,1
3,11175,7,1,0,1,1,1,1,1
3,11189,8,1,0,1,1,1,1,1
3,11191,8,0.625,0.51754917,0,0,1,1,1
3,11195,8,0.875,0.353553391,0,1,1,1,1
3,11197,8,0.875,0.353553391,0,1,1,1,1
3,11199,8,0.875,0.353553391,0,1,1,1,1
3,11201,8,0.75,0.46291005,0,0.75,1,1,1
3,11203,8,1,0,1,1,1,1,1
3,11205,8,1,0,1,1,1,1,1
3,11207,8,1,0,1,1,1,1,1
3,11209,8,1,0,1,1,1,1,1
