trial,block,stimId,category,response,rt,condition,id,phase
0,0,encourage_Y7,y,10.0,13537,1,11231,typicality
1,0,encourage_Z5,z,4.0,8136,1,11231,typicality
2,0,encourage_Y3,y,12.0,5504,1,11231,typicality
3,0,encourage_B3,b,11.0,5826,1,11231,typicality
4,0,encourage_Y4,y,13.0,3215,1,11231,typicality
5,0,encourage_A1,a,2.0,3084,1,11231,typicality
6,0,encourage_A2,a,2.0,2486,1,11231,typicality
7,0,encourage_Y1,y,11.0,7750,1,11231,typicality
8,0,encourage_Y5,y,10.0,6922,1,11231,typicality
9,0,encourage_B1,b,8.0,4632,1,11231,typicality
10,0,encourage_W1,w,5.0,3650,1,11231,typicality
11,0,encourage_Z4,z,4.0,4345,1,11231,typicality
12,0,encourage_X1,x,3.0,2106,1,11231,typicality
13,0,encourage_W5,w,3.0,2352,1,11231,typicality
14,0,encourage_B2,b,4.0,5934,1,11231,typicality
15,0,encourage_Z7,z,2.0,2898,1,11231,typicality
16,0,encourage_W7,w,3.0,4921,1,11231,typicality
17,0,encourage_W3,w,4.0,1915,1,11231,typicality
18,0,encourage_X7,x,0.9999999999999996,2317,1,11231,typicality
19,0,encourage_X4,x,0.9999999999999996,1600,1,11231,typicality
20,0,encourage_X5,x,0.9999999999999996,1764,1,11231,typicality
21,0,encourage_Z1,z,2.0,2839,1,11231,typicality
22,0,encourage_B0,b,3.0,2674,1,11231,typicality
23,0,encourage_A0,a,3.0,2197,1,11231,typicality
24,0,encourage_X3,x,2.0,3076,1,11231,typicality
25,0,encourage_Z3,z,2.0,3679,1,11231,typicality
26,0,encourage_A3,a,2.0,1650,1,11231,typicality
27,0,encourage_W4,w,2.0,1530,1,11231,typicality
0,0,encourage_W5,w,4.0,13207,1,11245,typicality
1,0,encourage_W1,w,4.0,3372,1,11245,typicality
2,0,encourage_Z4,z,2.0,3386,1,11245,typicality
3,0,encourage_B3,b,6.0,2930,1,11245,typicality
4,0,encourage_W7,w,5.0,3186,1,11245,typicality
5,0,encourage_Z7,z,0.9999999999999996,4594,1,11245,typicality
6,0,encourage_Y7,y,7.0,2939,1,11245,typicality
7,0,encourage_B2,b,7.0,57,1,11245,typicality
8,0,encourage_A0,a,3.0,4145,1,11245,typicality
9,0,encourage_Z1,z,2.0,2130,1,11245,typicality
10,0,encourage_X5,x,0.9999999999999996,2706,1,11245,typicality
11,0,encourage_X7,x,0.9999999999999996,1292,1,11245,typicality
12,0,encourage_B1,b,3.0,2854,1,11245,typicality
13,0,encourage_Y4,y,6.0,2277,1,11245,typicality
14,0,encourage_Y1,y,10.0,3910,1,11245,typicality
15,0,encourage_Y5,y,10.0,1123,1,11245,typicality
16,0,encourage_Y3,y,10.0,522,1,11245,typicality
17,0,encourage_A1,a,4.0,3050,1,11245,typicality
18,0,encourage_A3,a,3.0,2106,1,11245,typicality
19,0,encourage_B0,b,6.0,3683,1,11245,typicality
20,0,encourage_X4,x,4.0,2717,1,11245,typicality
21,0,encourage_Z3,z,5.0,1859,1,11245,typicality
22,0,encourage_W3,w,7.0,2707,1,11245,typicality
23,0,encourage_Z5,z,4.0,2433,1,11245,typicality
24,0,encourage_X1,x,3.0,3172,1,11245,typicality
25,0,encourage_W4,w,5.0,2113,1,11245,typicality
26,0,encourage_X3,x,3.0,1826,1,11245,typicality
27,0,encourage_A2,a,3.0,3931,1,11245,typicality
0,0,encourage_Z7,z,11.0,11282,1,11247,typicality
1,0,encourage_W4,w,2.0,8747,1,11247,typicality
2,0,encourage_A1,a,0.0,2264,1,11247,typicality
3,0,encourage_X7,x,0.0,643,1,11247,typicality
4,0,encourage_Y3,y,13.0,4359,1,11247,typicality
5,0,encourage_W7,w,4.0,4412,1,11247,typicality
6,0,encourage_B1,b,3.0,2426,1,11247,typicality
7,0,encourage_X4,x,0.0,2330,1,11247,typicality
8,0,encourage_W1,w,3.0,3620,1,11247,typicality
9,0,encourage_Z4,z,0.9999999999999996,2818,1,11247,typicality
10,0,encourage_B2,b,8.0,4608,1,11247,typicality
11,0,encourage_A3,a,5.0,2723,1,11247,typicality
12,0,encourage_X1,x,0.9999999999999996,2951,1,11247,typicality
13,0,encourage_Z3,z,4.0,3434,1,11247,typicality
14,0,encourage_Y7,y,13.0,2369,1,11247,typicality
15,0,encourage_Y4,y,13.0,994,1,11247,typicality
16,0,encourage_B3,b,13.0,916,1,11247,typicality
17,0,encourage_Y5,y,13.0,624,1,11247,typicality
18,0,encourage_W3,w,0.0,3147,1,11247,typicality
19,0,encourage_A2,a,0.0,863,1,11247,typicality
