category,count,mean,std,min,25%,50%,75%,max
a,80.0,2.45,2.3216100916651614,0.0,0.9999999999999996,2.0,3.0,13.0
b,80.0,6.55,3.5893654458410147,0.0,4.0,6.0,9.0,13.0
w,100.0,4.23,3.5358338779022427,0.0,2.0,4.0,5.0,13.0
x,100.0,1.41,2.895817255242046,0.0,0.0,0.0,2.0,13.0
y,100.0,11.53,2.119915187935688,0.9999999999999996,11.0,12.0,13.0,13.0
z,100.0,3.63,3.451408730101699,0.0,2.0,3.0,4.25,13.0
