category,count,mean,std,min,25%,50%,75%,max
a,84.0,3.4523809523809526,3.102291271018121,0.0,0.9999999999999996,3.0,4.0,13.0
b,84.0,6.404761904761905,3.627601841899211,0.0,3.0,5.0,10.0,13.0
w,105.0,3.4857142857142858,2.784276890360907,0.0,2.0,3.0,5.0,11.0
x,105.0,2.7142857142857144,3.647217816664889,0.0,0.0,2.0,3.0,13.0
y,105.0,9.923809523809524,2.772444207995336,0.9999999999999996,8.0,11.0,12.0,13.0
z,105.0,5.3238095238095235,4.114924146639976,0.0,2.0,4.0,9.0,13.0
